code,month,first_seen
1101,2026-08,
1102,2026-08,
1103,2026-08,
1104,2026-08,
1108,2026-08,
1109,2026-08,
1110,2026-08,
1201,2026-08,
1203,2026-08,
1210,2026-08,
1213,2026-08,
1215,2026-08,
1216,2026-08,
1217,2026-08,
1218,2026-08,
1219,2026-08,
1220,2026-08,
1225,2026-08,
1227,2026-08,
1229,2026-08,
1231,2026-08,
1232,2026-08,
1233,2026-08,
1234,2026-08,
1235,2026-08,
1236,2026-08,
1240,2026-08,
1256,2026-08,
1259,2026-08,
1264,2026-08,
1268,2026-08,
1294,2026-08,
1295,2026-08,
1301,2026-08,
1303,2026-08,
1304,2026-08,
1305,2026-08,
1307,2026-08,
1308,2026-08,
1309,2026-08,
1310,2026-08,
1312,2026-08,
1313,2026-08,
1314,2026-08,
1315,2026-08,
1316,2026-08,
1319,2026-08,
1321,2026-08,
1323,2026-08,
1324,2026-08,
1325,2026-08,
1326,2026-08,
1336,2026-08,
1337,2026-08,
1338,2026-08,
1339,2026-08,
1340,2026-08,
1341,2026-08,
1342,2026-08,
1402,2026-08,
1409,2026-08,
1410,2026-08,
1413,2026-08,
1414,2026-08,
1416,2026-08,
1417,2026-08,
1418,2026-08,
1419,2026-08,
1423,2026-08,
1432,2026-08,
1434,2026-08,
1435,2026-08,
1436,2026-08,
1437,2026-08,
1438,2026-08,
1439,2026-08,
1440,2026-08,
1441,2026-08,
1442,2026-08,
1443,2026-08,
1444,2026-08,
1445,2026-08,
1446,2026-08,
1447,2026-08,
1449,2026-08,
1451,2026-08,
1452,2026-08,
1453,2026-08,
1454,2026-08,
1455,2026-08,
1456,2026-08,
1457,2026-08,
1459,2026-08,
1460,2026-08,
1463,2026-08,
1464,2026-08,
1465,2026-08,
1466,2026-08,
1467,2026-08,
1468,2026-08,
1470,2026-08,
1471,2026-08,
1472,2026-08,
1473,2026-08,
1474,2026-08,
1475,2026-08,
1476,2026-08,
1477,2026-08,
1503,2026-08,
1504,2026-08,
1506,2026-08,
1512,2026-08,
1513,2026-08,
1514,2026-08,
1515,2026-08,
1516,2026-08,
1517,2026-08,
1519,2026-08,
1521,2026-08,
1522,2026-08,
1524,2026-08,
1525,2026-08,
1526,2026-08,
1527,2026-08,
1528,2026-08,
1529,2026-08,
1530,2026-08,
1531,2026-08,
1532,2026-08,
1533,2026-08,
1535,2026-08,
1536,2026-08,
1537,2026-08,
1538,2026-08,
1539,2026-08,
1540,2026-08,
1541,2026-08,
1558,2026-08,
1560,2026-08,
