date,code,name,close,score,timing,flags
2026-09-24,1560,中砂,971,0.985,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,1727,中華化,115.5,0.962,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,2305,全友,62.9,0.961,T1+T2,月營收創 12 個月新高且 3 月累計年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,2455,全新,554,0.984,T1,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高
2026-09-24,3026,禾伸堂,810,0.957,T1+T2,單月營收年增 > 20%、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,3094,聯傑,54.3,0.969,T1+T2,單月營收年增 > 20%、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,3105,穩懋,502,0.975,T1,月營收創 12 個月新高且 3 月累計年增、營益率創近 4 季新高
2026-09-24,3167,大量,949,0.967,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,3219,倚強科,114.5,0.951,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,3324,雙鴻,1710,0.998,T1+T2,單月營收年增 > 20%、近四季 EPS 年增
2026-09-24,3374,精材,449,0.987,T1,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增
2026-09-24,3443,創意,8525,0.977,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增
2026-09-24,3693,營邦,729,0.995,T1,月營收創 12 個月新高且 3 月累計年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,4770,上品,281.5,0.974,T1+T2,單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,4967,十銓,272.5,0.952,T1,單月營收年增 > 20%、近四季 EPS 年增、營益率創近 4 季新高
2026-09-24,5274,信驊,19835,0.993,T1+T2,月營收創 12 個月新高且 3 月累計年增、近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,6168,宏齊,44,0.965,T1+T2,月營收創 12 個月新高且 3 月累計年增、單季 EPS 創近 4 季新高
2026-09-24,6218,豪勉,63.6,0.970,T1+T2,單月營收年增 > 20%、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,6426,統新,389,1.000,T1+T2,單月營收年增 > 20%、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,6531,愛普*,993,0.980,T1+T2,單月營收年增 > 20%、近四季 EPS 年增、營益率創近 4 季新高
2026-09-24,6538,倉和,398,0.989,T1,月營收創 12 個月新高且 3 月累計年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,6727,亞泰金屬,505,0.959,T1,近四季 EPS 年增、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,6805,富世達,2530,0.972,T1+T2,單月營收年增 > 20%、近四季 EPS 年增、營益率創近 4 季新高
2026-09-24,7792,安葆,435.5,0.982,T1+T2,單月營收年增 > 20%、單季 EPS 創近 4 季新高、營益率創近 4 季新高
2026-09-24,8227,巨有科技,306.5,0.997,T1+T2,單月營收年增 > 20%、近四季 EPS 年增、單季 EPS 創近 4 季新高
