保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
743136,,1240,茂生農經,,144492,,4,上櫃,113,,,,1493973,,1446222,,0,,34.98,576703,1176509,413387,647265,145207,2141238,47751,70562,964729,0
958901,,1259,安心,,398468,,4,上櫃,113,,0,,2504822,,2491080,,0,,76.91,1965946,1312755,323895,3909514,809816,6414336,13742,1943568,5101581,0
2400277,,1264,德麥,,10640,,4,上櫃,113,-2432,,,4258991,,3452966,,12000,,93.19,1252760,3261840,370644,1347533,673837,5606524,806025,94773,2344684,0
655987,,1268,漢來美食,,66720,,4,上櫃,113,0,,,2268278,,2268278,,0,,53.72,2074384,2417071,422237,4764548,1123334,7032826,,2690164,4615755,0
245561,,1294,漢田生技,,,,4,上櫃,113,,,,820816,,817779,,0,,29.63,192214,534630,276008,298183,296210,1118999,3037,105969,584369,0
513478,,1295,生合,,1740,,4,上櫃,113,,0,,1079425,,1079425,,0,,34.43,411213,765733,313548,1265079,250659,2344504,,853866,1578771,0
577638,,1336,台翰,,-81266,,4,上櫃,113,,0,,1949387,,1949387,,0,,24.90,845172,1234647,782864,1148530,670151,3097917,,303358,1863270,0
5526299,,1565,精華,,1446,,4,上櫃,113,,0,,6557910,,6557910,,0,,130.07,1246175,4277064,504165,1542976,526000,8100886,,296801,3823822,0
678287,,1569,濱川,,-45381,,4,上櫃,113,,,,3022438,,2880811,,0,,23.72,2689493,3324559,1214474,3378216,1033431,6400654,141627,688723,3076095,0
461434,,1570,力肯,,47438,,4,上櫃,113,,0,,1023880,,1023880,,0,,19.88,174148,909131,515008,182757,,1206637,0,8609,297506,0
