CompanyName,Date,SecuritiesCompanyCode,保留盈餘,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
茂生農經,1150904,1240,795286.00,,95998.00,,2,115,,,,1561579.00,1500003.00,0.00,33.91,702217.00,1285947.00,464440.00,753544.00,144279.00,2315123.00,61576.00,51327.00,1029176.00,0.00
安心,1150904,1259,1064487.00,,606599.00,,2,115,,0.00,,2813480.00,2804797.00,0.00,86.60,2086650.00,1743835.00,323895.00,4365952.00,809816.00,7179432.00,8683.00,2279302.00,5435597.00,0.00
德麥,1150904,1264,2470077.00,,37649.00,,2,115,0.00,,,4400632.00,3551469.00,0.00,95.85,1690983.00,3396657.00,370524.00,1785139.00,673219.00,6185771.00,849163.00,94156.00,2789114.00,0.00
漢來美食,1150904,1268,837322.00,,18341.00,,2,115,,,,2401234.00,2401234.00,0.00,56.87,2448996.00,2360830.00,422237.00,5102764.00,1123334.00,7503998.00,,2653768.00,5143168.00,0.00
漢田生技,1150904,1294,167526.00,,,,2,115,-28362.00,,,822288.00,819208.00,300000.00,27.06,316249.00,632919.00,366259.00,404762.00,313785.00,1227050.00,3080.00,88513.00,594131.00,0.00
生合,1150904,1295,544313.00,,19027.00,,2,115,,0.00,,1310676.00,1310676.00,0.00,38.02,836734.00,911192.00,344748.00,1915344.00,402588.00,3226020.00,,1078610.00,2314828.00,0.00
台翰,1150904,1336,568976.00,,-122798.00,,2,115,,0.00,,1899193.00,1899193.00,0.00,24.47,1174952.00,1421203.00,776144.00,1495512.00,676871.00,3394705.00,,320560.00,1973502.00,0.00
精華,1150904,1565,5378133.00,,2200.00,,2,115,,0.00,,6410498.00,6410498.00,0.00,127.15,1183403.00,4110234.00,504165.00,1316772.00,526000.00,7727270.00,,133369.00,3617036.00,0.00
濱川,1150904,1569,-262910.00,,-18439.00,,2,115,,,,3146134.00,2970821.00,0.00,20.60,3098257.00,4010131.00,1442474.00,3846883.00,1809696.00,6993017.00,175313.00,748626.00,2982886.00,0.00
力肯,1150904,1570,427118.00,,94983.00,,2,115,,0.00,,1037109.00,1037109.00,0.00,20.14,148929.00,878316.00,515008.00,157762.00,,1194871.00,,8833.00,316555.00,0.00
