公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,4,上櫃,113,-6092,75193,70934,-4259,169842,-168009
1259,安心,-70,4,上櫃,113,-751663,764974,750414,-14560,776512,-39339
1264,德麥,20616,4,上櫃,113,-376457,654482,794621,140139,797652,-301672
1268,漢來美食,,4,上櫃,113,-504752,806573,1018259,211686,1033219,-316781
1294,漢田生技,209,4,上櫃,113,-25383,167090,382423,215333,150754,89753
1295,生合,8292,4,上櫃,113,-313212,346738,469387,122649,261536,166033
1336,台翰,25640,4,上櫃,113,-692670,594077,319733,-274344,227288,165398
1565,精華,64,4,上櫃,113,-140749,2063672,2376201,312529,955482,-502268
1569,濱川,106005,4,上櫃,113,-462542,1125885,867338,-258547,141975,-43985
1570,力肯,244,4,上櫃,113,-29653,107173,134410,27237,112099,-55453
1580,新麥,31614,4,上櫃,113,-12193,989384,1223143,233759,712514,-498176
1584,精剛,,4,上櫃,113,-1971094,460997,408080,-52917,-349806,2267983
1586,和勤,16840,4,上櫃,113,-58927,414492,449309,34817,298114,-221210
1591,駿吉-KY,15391,4,上櫃,113,13338,75866,152845,76979,2029,46221
1593,祺驊,6359,4,上櫃,113,-71574,350563,313124,-37439,127006,-99230
1595,川寶,4625,4,上櫃,113,-215243,988138,1121857,133719,26358,317979
1599,宏佳騰,-319,4,上櫃,113,-117573,738146,601326,-136820,-74742,55814
1742,台蠟,15490,4,上櫃,113,1631087,111785,106772,-5013,369009,-2020599
1777,生泰,,4,上櫃,113,-210454,666922,656797,-10125,622608,-422279
1780,立弘,558,4,上櫃,113,70546,618494,978331,359837,223793,64940
1781,合世,4075,4,上櫃,113,-89808,150719,227022,76303,33353,128683
1784,訊聯,491,4,上櫃,113,-778147,238492,242792,4300,176493,605463
1785,光洋科,98855,4,上櫃,113,-1870921,2362456,1731756,-630700,435195,706171
1788,杏昌,3124,4,上櫃,113,-377190,401137,414865,13728,510119,-122325
1796,金穎生技,653,4,上櫃,113,-22828,120153,122450,2297,8090,16382
1799,易威,6405,4,上櫃,113,-47662,262906,325665,62759,-159042,263058
1813,寶利徠,-14413,4,上櫃,113,-67628,118838,85482,-33356,35201,13484
1815,富喬,63208,4,上櫃,113,-1386830,1344357,1318310,-26047,269091,1028484
2035,唐榮公司,,4,上櫃,113,-261905,288673,114169,-174504,-1698581,1785982
2061,風青,10327,4,上櫃,113,20502,88826,91154,2328,-205661,177160
2063,世鎧精密,1912,4,上櫃,113,-149096,595195,603009,7814,134164,20834
2064,晉椿,-124,4,上櫃,113,117352,269005,368781,99776,61030,-78482
2065,世豐,2215,4,上櫃,113,-101239,410955,387299,-23656,327680,-252312
2066,世德,-11651,4,上櫃,113,-344925,845193,897246,52053,249511,159118
2067,嘉鋼,10970,4,上櫃,113,-75883,84821,89229,4408,-34039,103360
2070,精湛,1275,4,上櫃,113,-121790,621825,186106,-435719,128936,-444140
2073,雄順,,4,上櫃,113,-32850,98716,49687,-49029,81851,-98030
2221,大甲,289,4,上櫃,113,-19423,193915,283329,89414,215786,-107238
2230,泰茂,32776,4,上櫃,113,-112401,390638,523969,133331,229612,-16656
2235,謚源,,4,上櫃,113,-85923,338188,106807,-231381,86215,-231673
2596,綠意,,4,上櫃,113,127400,254951,342746,87795,-1099465,1059860
2640,大車隊,,4,上櫃,113,-437227,763697,883246,119549,820166,-263390
2641,正德,34584,4,上櫃,113,-3189317,448715,475521,26806,971290,2210249
2643,捷迅,31576,4,上櫃,113,-371925,998001,441961,-556040,-13061,-202630
2718,全心投控,,4,上櫃,113,-155137,1540417,3643342,2102925,3532916,-1274854
2719,燦星旅,,4,上櫃,113,-182483,406853,161509,-245344,-46291,-16570
2724,藝舍-KY,-567,4,上櫃,113,-7315,193977,324040,130063,148015,-10070
2726,雅茗-KY,8193,4,上櫃,113,-147885,254623,151261,-103362,73182,-36852
2729,瓦城,2867,4,上櫃,113,-797661,366874,271994,-94880,836785,-136871
2732,六角,59573,4,上櫃,113,-141196,1192334,1176629,-15705,467712,-401794
2734,易飛網,,4,上櫃,113,-253135,378680,479985,101305,-141734,496174
2736,富野,101,4,上櫃,113,-312745,309088,208546,-100542,-55559,267661
2740,華軒,,4,上櫃,113,-28956,123398,13202,-110196,-65655,-15585
2743,山富,,4,上櫃,113,-144738,801870,1060311,258441,546781,-143602
2745,五福,,4,上櫃,113,-565589,823791,699256,-124535,573904,-132850
2751,王座,634,4,上櫃,113,-54928,167723,386713,218990,261052,12232
2752,豆府,3,4,上櫃,113,-292923,885183,683144,-202039,594688,-503807
2754,亞洲藏壽司,4326,4,上櫃,113,-420929,219656,396905,177249,886709,-292857
2755,揚秦,1572,4,上櫃,113,52598,452792,632292,179500,189924,-64594
2756,聯發國際,-899,4,上櫃,113,-152073,147385,190608,43223,101137,95058
2916,滿心,,4,上櫃,113,-93278,70428,267667,197239,58364,232153
2924,宏太-KY,195,4,上櫃,113,-14664,44398,397340,352942,20778,346633
2926,誠品生活,30485,4,上櫃,113,-552540,1671801,1480077,-191724,1562132,-1231801
2937,集雅社,,4,上櫃,113,-104100,248867,314384,65517,309968,-140351
2941,米斯特,,4,上櫃,113,-89321,142212,132739,-9473,41421,38427
2947,振宇五金,,4,上櫃,113,-116294,242003,266661,24658,282178,-141226
2948,寶陞,77325,4,上櫃,113,-32206,309861,102431,-207430,-139343,-113206
2949,欣新網,-1007,4,上櫃,113,-49095,439854,384357,-55497,-85473,80078
3064,泰偉,1005,4,上櫃,113,4710,49585,45395,-4190,1124,-11029
3066,李洲,4447,4,上櫃,113,-126300,170216,109084,-61132,-56884,117605
3067,全域,1122,4,上櫃,113,-33151,164188,95586,-68602,-34933,-1640
3071,協禧,87662,4,上櫃,113,-130065,1496918,1550281,53363,164249,-68483
