停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,-46133,9156,,,4.86,4,,上櫃,114,16967,,,,,208689,162556,,,,214940,-6251,,132522,,93134,2420336,2743785,391060,391060,258538,58455,225656,,168807,-6251,208689
,1259,安心,,477761,,,,2.45,4,,上櫃,114,-41440,,,,,82378,560139,,,,79381,2997,,-13589,,54527,4696284,6062167,1365883,1365883,1379472,,40938,,559075,1064,82378
,1264,德麥,,646,,,,20.47,4,,上櫃,114,279448,,,,,879538,880184,,,,758499,121039,,1136800,,22186,4595742,6779456,2183714,2183714,1046914,,1158986,,756037,124147,879538
,1268,漢來美食,,-75151,,,,10.12,4,,上櫃,114,104684,,,,,427167,352016,,,,427167,,,533536,,-1685,3377263,6226966,2849703,2849703,2316167,,531851,,352016,,427167
,1294,漢田生技,,,,,,4.60,4,,上櫃,114,33930,,,,,139084,139084,,,,139052,32,,172981,,33,489648,778543,288895,288895,115914,,173014,,139052,32,139084
,1295,生合,,1799,,,,5.29,4,,上櫃,114,26395,,,,,175968,177767,,,,175968,,,198262,,4101,483471,1038668,555197,555197,356935,,202363,,177767,,175968
,1336,台翰,,-71716,,,,0.71,4,,上櫃,114,58778,,,,,55081,-16635,,,,55081,,,109300,,4559,2112274,2495319,383045,383045,273745,,113859,,-16635,,55081
,1565,精華,,16919,,,,9.03,4,,上櫃,114,122131,,,,,455031,471950,,,,455031,,,540402,,36760,3167192,4116858,949666,949666,409264,,577162,,471950,,455031
,1569,濱川,,-38469,,,,-5.61,4,,上櫃,114,41155,,,,,-674029,-712498,,,,-704221,30192,,-570561,,-62313,3273164,3258899,-14265,-14265,556296,,-632874,,-749285,36787,-674029
,1570,力肯,,27829,,,,0.59,4,,上櫃,114,8868,,,,,30272,58101,,,,30272,,,35244,,3896,370552,493366,122814,122814,87570,,39140,,58101,,30272
,1580,新麥,,-664,,,,12.54,4,,上櫃,114,317442,,,,,663373,662709,,,,622491,40882,,920517,,60298,2799098,4879103,2080005,2080005,1159488,,980815,,621788,40921,663373
,1584,精剛,,-41887,,,,0.44,4,,上櫃,114,13289,,,,,91895,50008,,,,101741,-9846,,85909,,19275,2285649,2593817,308168,308168,222259,,105184,,59854,-9846,91895
,1586,和勤,,3191,,,,-0.35,4,,上櫃,114,-8600,,,,,-34134,-30943,,,,-34134,,,-68821,,26087,2018273,2300558,282285,282285,351106,,-42734,,-30943,,-34134
,1591,駿吉-KY,,6122,,,,-2.75,4,,上櫃,114,-18810,,,,,-104068,-97946,,,,-104068,,,-120922,,-1956,137716,121093,-16623,-16623,104299,,-122878,,-97946,,-104068
,1593,祺驊,,-29858,,,,2.18,4,,上櫃,114,36696,,,,,118522,88664,,,,86911,31611,,125195,,30023,863110,1256972,393862,393862,268667,,155218,,57053,31611,118522
,1595,川寶,,-8855,,,,-1.95,4,,上櫃,114,3161,,,,,-106121,-114976,,,,-105505,-616,,-114310,,11350,522063,716171,194108,194108,308418,,-102960,,-114360,-616,-106121
,1599,宏佳騰,,-26725,,,,-0.84,4,,上櫃,114,-25831,,,,,-80450,-107175,,,,-61164,-19286,,-166740,,60459,1497938,1864214,366276,366276,533016,,-106281,,-87889,-19286,-80450
,1742,台蠟,,3540,,,,-1.08,4,,上櫃,114,-4306,,,,,-100496,-96956,,,,-100496,0,,-87071,,-17731,84795,111697,26902,26902,113973,,-104802,,-96956,0,-100496
,1777,生泰,,4794,,,,5.87,4,,上櫃,114,72311,,,,,261609,266403,,,,,,,319861,,14059,849883,1300241,450358,450358,130497,,333920,,,,261609
,1780,立弘,,979,,,,1.35,4,,上櫃,114,34665,,,,,129456,130435,,,,129456,,,120335,,43786,540898,849507,308609,308609,188274,,164121,,130435,,129456
,1781,合世,,-10814,,,,-1.30,4,,上櫃,114,-5686,,,,,-61666,-72480,,,,-61666,,,-63405,,-3947,327929,398046,70117,70117,133522,,-67352,,-72480,,-61666
,1784,訊聯,,-1950,,,,1.02,4,,上櫃,114,18427,,,,,848,-1102,,,,51426,-50578,,-14468,,33743,552722,1236596,683874,683874,698342,,19275,,50959,-52061,848
,1785,光洋科,,2608,,,,3.14,4,,上櫃,114,451764,,,,,1861629,1864237,,,,1867414,-5785,,4144927,,-1831534,33672571,39411439,5738868,5738868,1593941,,2313393,,1870025,-5788,1861629
,1788,杏昌,,-7785,,,,8.28,4,,上櫃,114,87457,,,,,368510,360725,,,,368510,,,419026,,36941,3134792,4278234,1143442,1143442,724416,,455967,,360725,,368510
,1796,金穎生技,,-385,,,,0.70,4,,上櫃,114,5834,,,,,28862,28477,,,,28862,,,46077,,-11381,486302,677098,190796,190796,144719,,34696,,28477,,28862
,1799,易威,,-10255,,,,-0.59,4,,上櫃,114,304,,,,,-75481,-85736,,,,-73138,-2343,,-67200,,-7977,317105,597410,280305,280305,347505,,-75177,,-83139,-2597,-75481
,1813,寶利徠,,5077,,,,-1.03,4,,上櫃,114,-8806,,,,,-54112,-49035,,,,-47935,-6177,,-127268,,64350,356642,304320,-52322,-52322,74946,,-62918,,-43554,-5481,-54112
,1815,富喬,,-119541,,,,1.64,4,,上櫃,114,178778,,,,,856541,737000,,,,856541,,,932500,,102819,4327834,5974753,1646919,1646919,714419,,1035319,,737000,,856541
,2035,唐榮公司,,101760,,,,-4.72,4,,上櫃,114,0,,,,,-1652460,-1550700,,,,,,,-1551931,,-100529,10854717,9602428,-1252289,-1252289,299642,,-1652460,,,,-1652460
,2061,風青,,-649,,,,-0.97,4,,上櫃,114,12246,,,,,-55804,-56453,,,,-55804,,,-4422,,-39136,1141085,1204951,63866,63866,68288,,-43558,,-56453,,-55804
,2063,世鎧精密,,-147267,,,,1.72,4,,上櫃,114,8322,,,,,82597,-64670,,,,82597,,,36371,,54548,809695,975498,165803,165803,129432,,90919,,-64670,,82597
,2064,晉椿,,881,,,,-1.30,4,,上櫃,114,4714,,,-346,,-89789,-88908,,,,-89914,125,,-65323,,-19752,1529651,1580622,50971,51317,116640,,-85075,,-89017,109,-89789
,2065,世豐,,-223849,,,,1.12,4,,上櫃,114,34670,,,,,70672,-153177,,,,70672,,,99350,,5992,1769961,2072496,302535,302535,203185,,105342,,-153177,,70672
,2066,世德,,-23803,,,,1.34,4,,上櫃,114,21170,,,,,59242,35439,,,,59242,,,68123,,12289,1748567,2494015,745448,745448,677325,,80412,,35439,,59242
,2067,嘉鋼,,157654,,,,-2.80,4,,上櫃,114,4430,,,,,-149707,7947,,,-23178,-126529,,,-128875,,-16402,981945,1021554,39609,39609,168484,,-145277,-23098,31045,,-149707
,2070,精湛,,-17428,,,,2.30,4,,上櫃,114,23859,,,,,82150,64722,,,,82150,,,93694,,12315,372056,694156,322100,322100,228406,,106009,,64722,,82150
,2073,雄順,,-1029,,,,-0.39,4,,上櫃,114,-2991,,,,,-10686,-11715,,,,,,,-11736,,-1941,502970,557563,54593,54593,66329,,-13677,,,,-10686
,2221,大甲,,729,,,,2.31,4,,上櫃,114,26386,,,,,99938,100667,,,,97748,2190,,136433,,-10109,1086948,1362791,275843,275843,139410,,126324,0,98477,2190,99938
,2230,泰茂,-961,-16254,,,,-1.05,4,,上櫃,114,10331,,,,,-73080,-89334,,,,-73080,,,-47667,,-15082,1890824,2025196,134372,134372,181078,,-62749,,-87319,-2015,-73080
,2235,謚源,,-261,,,,0.95,4,,上櫃,114,9255,,,,,34237,33976,,,,,,,25859,,17633,453780,555889,102109,102109,76250,,43492,,,,34237
,2596,綠意,,,,,,1.86,4,,上櫃,114,52499,,,,,182276,182276,,,,185892,-3616,,226929,,7846,958589,1298006,339417,339417,112488,,234775,,185892,-3616,182276
,2640,大車隊,,,,,,9.01,4,,上櫃,114,147363,,,,,524612,524612,,,,533868,-9256,,658164,,13811,1578512,3154356,1575844,1575844,917680,,671975,,533868,-9256,524612
,2641,正德,,-306804,,,,2.01,4,,上櫃,114,33001,,,,,678521,371717,,,,646104,32417,,850544,,-139022,1383495,2367772,984277,984277,133733,,711522,,339300,32417,678521
,2643,捷迅,,-34260,,,,6.30,4,,上櫃,114,73182,,,,,220603,186343,,,,220603,,,337704,,-43919,7774345,8398720,624375,624375,286671,,293785,,186343,,220603
,2718,全心投控,,-5571,,,,16.94,4,,上櫃,114,479874,,,,,1479599,1474028,,,,1479599,,,1757000,,202473,998733,3021824,2023091,2023091,266091,,1959473,,1474028,,1479599
,2719,燦星旅,,,,,,-0.15,4,,上櫃,114,-497,,,,,-10049,-10049,,,,-10049,,,-28101,,17555,1860935,1963238,102303,102303,130404,,-10546,,-10049,,-10049
,2724,藝舍-KY,,0,,,,-0.20,4,,上櫃,114,-16094,,,,,-13317,-13317,,,,-11779,-1538,,-35229,,5818,145157,169097,23940,23940,59169,,-29411,,-11779,-1538,-13317
,2726,雅茗-KY,,-14993,,,,-3.55,4,,上櫃,114,-9974,,,,,-98304,-113297,,,,-99521,1217,,-109043,,765,223313,568008,344695,344695,453738,,-108278,,-113681,384,-98304
,2729,瓦城,,-14967,,,,6.76,4,,上櫃,114,87132,,,,,287072,272105,,,,289312,-2240,,368147,,6057,2997845,6103901,3106056,3106056,2737909,,374204,,274345,-2240,287072
,2732,六角,-2175,-5947,,,,1.09,4,299,上櫃,114,5576,,,0,,64055,58108,,,,50239,13816,,140114,,-70483,2079824,4299913,2220089,2220388,2078099,,69631,,43813,14295,64055
0,2734,易飛網,,-286,,,,-1.42,4,,上櫃,114,2411,,,,,-81588,-81874,,,,-81424,-164,,-16306,,-62871,1412809,1643286,230477,230477,246783,,-79177,,-81710,-164,-81588
,2736,富野,,-7723,,,,-1.83,4,,上櫃,114,-4973,,,,,-147514,-155237,,,,-131353,-16161,,-125988,,-26499,286191,524168,237977,237977,363965,,-152487,,-139076,-16161,-147514
,2740,華軒,,-225,,,,-3.19,4,,上櫃,114,0,,,,,-43094,-43319,,,,-43094,,,-32694,,-10400,77066,128217,51151,51151,83845,,-43094,,-43319,,-43094
,2743,山富,,,,,,3.94,4,,上櫃,114,38353,,,,,184681,184681,,,,184681,,,347005,,-123971,5896357,6726161,829804,829804,482799,,223034,,184681,,184681
,2745,五福,,,,,,10.01,4,,上櫃,114,88155,,,,,338453,338453,,,,338453,,,464655,,-38047,7597046,8760096,1163050,1163050,698395,,426608,,338453,,338453
,2751,王座,-1801,-142,,,,4.57,4,,上櫃,114,10317,,,,,92961,92819,,,,89874,3087,,105420,,-2142,917630,1771446,853816,853816,746595,,103278,,89732,3087,92961
,2752,豆府,,-1680,,,,15.04,4,,上櫃,114,101643,,,,,405097,403417,,,,401479,3618,,502199,,4541,1959599,4072363,2112764,2112764,1610565,,506740,,399904,3513,405097
,2754,亞洲藏壽司,,-5788,,,,2.35,4,,上櫃,114,27406,,,,,110164,104376,,,,110164,,,263427,,-125857,3381916,5709802,2327886,2327886,2064459,,137570,,104376,,110164
,2755,揚秦,,-1643,,,,6.44,4,,上櫃,114,57530,,,,,235029,233386,,,,235029,,,295281,,-2722,2209086,3042798,833712,833712,538431,,292559,,233386,,235029
,2756,聯發國際,,-9440,,,,3.93,4,,上櫃,114,26062,,,,,95936,86496,,,,95936,,,98889,,23109,546273,1172581,626308,626308,527419,,121998,,86496,,95936
,2916,滿心,,407,,,,3.96,4,,上櫃,114,63981,,,,,255914,256321,,,,,,,278239,,41656,900408,1958266,1057858,1057858,779619,,319895,,,,255914
,2924,宏太-KY,,-1122,,,,-1.17,4,,上櫃,114,0,,,,,-60880,-62002,,,,-60880,,,-62016,,1136,48955,67038,18083,18083,80099,,-60880,,-62002,,-60880
,2926,誠品生活,,-12984,,,,0.54,4,,上櫃,114,31528,,,,,25073,12089,,,,25574,-501,,-12314,,68915,4268265,6971953,2703688,2703688,2716002,,56601,,12866,-777,25073
