CompanyName,Date,Season,SecuritiesCompanyCode,Year,停業單位損益,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,已實現銷貨（損）益,所得稅費用（利益）,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益（損失）,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
茂生農經,1150904,2,1240,115,,,4025.00,21939.00,,,2.85,,15197.00,,126506.00,130531.00,,126188.00,318.00,87402.00,54301.00,1267704.00,1440672.00,219087.00,219087.00,131685.00,24180.00,141703.00,,130213.00,318.00,126506.00
安心,1150904,2,1259,115,,,-232941.00,,,,2.02,,1782.00,,65718.00,-167223.00,,65317.00,401.00,6249.00,61251.00,2373772.00,3091195.00,717423.00,717423.00,711174.00,,67500.00,,-167624.00,401.00,65718.00
德麥,1150904,2,1264,115,,,58966.00,,,,11.01,,138328.00,,466021.00,524987.00,,407978.00,58043.00,587106.00,17243.00,2352398.00,3512615.00,1160217.00,1160217.00,573111.00,,604349.00,,436421.00,88566.00,466021.00
漢來美食,1150904,2,1268,115,,,46404.00,,,,9.21,,86886.00,,389004.00,435408.00,,389004.00,,456764.00,19126.00,1916952.00,3675641.00,1758689.00,1758689.00,1301925.00,,475890.00,,435408.00,,389004.00
漢田生技,1150904,2,1294,115,,,,,,,2.22,,19811.00,,80835.00,80835.00,,80824.00,11.00,99277.00,1369.00,294582.00,455326.00,160744.00,160744.00,61467.00,,100646.00,,80824.00,11.00,80835.00
生合,1150904,2,1295,115,,,15488.00,,,,1.97,,7127.00,,68033.00,83521.00,,68033.00,,76431.00,-1271.00,256589.00,510716.00,254127.00,254127.00,177696.00,,75160.00,,83521.00,,68033.00
台翰,1150904,2,1336,115,,,27829.00,,,,0.41,,14829.00,,32112.00,59941.00,,32112.00,,31964.00,14977.00,1064666.00,1247607.00,182941.00,182941.00,150977.00,,46941.00,,59941.00,,32112.00
精華,1150904,2,1565,115,,,555.00,,,,3.00,,41692.00,,151456.00,152011.00,,151456.00,,170873.00,22275.00,1444589.00,1780360.00,335771.00,335771.00,164898.00,,193148.00,,152011.00,,151456.00
濱川,1150904,2,1569,115,,,72913.00,,,,-1.67,,63458.00,,-220063.00,-147150.00,,-236976.00,16913.00,-173256.00,16651.00,1514234.00,1624996.00,110762.00,110762.00,284018.00,,-156605.00,,-164970.00,17820.00,-220063.00
力肯,1150904,2,1570,115,,,45731.00,,,,0.54,,6892.00,,27849.00,73580.00,,27849.00,,27520.00,7221.00,224517.00,288259.00,63742.00,63742.00,36222.00,,34741.00,,73580.00,,27849.00
