備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,1240,茂生農經,1150911,3.7990029318257728,242511,9.195965730398004,230525,251724,農業科技,7.793180904035503,1795018,1934907,11508
-,1259,安心,1150911,1.1642472786423348,550828,7.409599074787972,518800,557241,觀光餐旅,4.243089830098666,4028338,4199264,11508
-,1264,德麥,1150911,-3.1487462326296414,593252,9.223630408458495,526051,574572,食品工業,7.149842688938043,4324235,4633411,11508
-,1268,漢來美食,1150911,7.617812678521232,551405,19.991830825288854,494542,593410,觀光餐旅,17.434670354058834,4104798,4820456,11508
-,1294,漢田生技,1150911,-26.583618186758965,69919,-24.99707773232028,68440,51332,食品工業,16.5336427007941,494773,576577,11508
-,1295,生合,1150911,-4.63768115942029,78660,-0.621348418807382,75481,75012,食品工業,-2.6236682696042295,682289,664388,11508
-,1336,台翰,1150911,-2.94386068768191,324336,46.14113277623027,215400,314788,電子零組件業,12.450605842069816,1677830,1886730,11508
-,1565,精華,1150911,-0.40678681272313116,303353,-12.465050515586384,345141,302119,生技醫療業,-16.328285555968606,2851420,2385832,11508
-,1569,濱川,1150911,0.8430490676755588,207224,-25.280237992226635,279673,208971,電腦及週邊設備業,-7.645398580921071,2210166,2041190,11508
-,1570,力肯,1150911,-19.652718776550554,37664,-44.00695703659845,54046,30262,電機機械,-8.723603869638106,390114,356082,11508
-,1580,新麥,1150911,-14.993575803251597,440522,-10.070892009759659,416408,374472,電機機械,-3.209593928714311,3181929,3079802,11508
-,1584,精剛,1150911,7.690930390787663,195477,5.5272326240068175,199485,210511,其他,-14.591505131292202,1745077,1490444,11508
-,1586,和勤,1150911,-4.347905423591184,219209,12.520794650810858,186346,209678,電機機械,8.264897217126956,1476316,1598332,11508
本期銷售數量增加所致,1591,駿吉-KY,1150911,26.71750335380922,42489,927.8923253150057,5238,53841,電機機械,337.08215049460375,79963,349504,11508
-,1593,祺驊,1150911,-5.810125237935739,122407,21.90596022288717,94577,115295,運動休閒,12.505581997152705,786009,884304,11508
-,1595,川寶,1150911,-21.60419655667145,111520,35.61091377251082,64469,87427,半導體業,27.77371087230242,478114,610904,11508
市場需求提升客戶增加拉貨所致,1599,宏佳騰,1150911,17.30303796553842,249147,98.4969606411519,147235,292257,電機機械,27.257515198281116,1268729,1614553,11508
本月營收較去年同期增加，係因蠟品較去年同期增加,1742,台蠟,1150911,119.05283328770874,3653,52.506194015627976,5247,8002,化學工業,-36.71806877769682,83719,52979,11508
-,1777,生泰,1150911,32.09429008112239,102068,17.68207527407304,114568,134826,生技醫療業,-2.2641548536848215,868536,848871,11508
-,1780,立弘,1150911,-9.329149351200067,82537,12.477643345607575,66535,74837,食品工業,16.168821966341895,564500,655773,11508
-,1781,合世,1150911,38.06047966631908,21098,33.16265886440523,21874,29128,生技醫療業,-5.367468755829137,257328,243516,11508
-,1784,訊聯,1150911,-9.87149291351597,121005,14.37740558567818,95351,109060,生技醫療業,10.004060767011625,802804,883117,11508
主係業績增長所致,1785,光洋科,1150911,-14.166459486604003,5261124,30.70899895422589,3454857,4515809,其他電子業,63.39603435324915,24815120,40546922,11508
-,1788,杏昌,1150911,5.602436201289754,362860,8.941288853382764,351739,383189,生技醫療業,6.142195420040782,2825309,2998845,11508
-,1796,金穎生技,1150911,-11.300527512646381,64643,-10.893889475974389,64348,57338,食品工業,-0.17285793280794112,444874,444105,11508
因新藥/學名藥產品出貨較去年同期多，故營收成長。,1799,易威,1150911,59.20137093557489,67691,82.42065171392298,59075,107765,生技醫療業,78.14643043397021,358573,638785,11508
-,1813,寶利徠,1150911,-0.2809605338250143,22779,0.5800566772936592,22584,22715,生技醫療業,-8.08555976769296,210239,193240,11508
主要受惠於AI伺服器與高速傳輸需求帶動高階產品出貨比重提高，電子級玻纖布產品市場價格走高。,1815,富喬,1150911,6.791014292252034,854379,79.20696400933353,509132,912400,電子零組件業,51.19937149056726,3822377,5779410,11508
-,2035,唐榮公司,1150911,-23.96936175240597,880207,-27.548214436507646,923686,669227,鋼鐵工業,0.5639587093731805,6802803,6841168,11508
-,2061,風青,1150911,-5.2783528049428545,126081,42.421351396474826,83854,119426,電器電纜,18.74878740923354,773138,918092,11508
-,2063,世鎧精密,1150911,-31.41456122668539,88303,-16.94938496770566,72923,60563,鋼鐵工業,-8.537794970288816,665406,608595,11508
-,2064,晉椿,1150911,-10.374216027874564,143500,-8.557472857965573,140649,128613,鋼鐵工業,15.866109717192918,1007153,1166949,11508
-,2065,世豐,1150911,-14.621531696225937,240139,28.712231073946427,159291,205027,鋼鐵工業,10.645365094761868,1389694,1537632,11508
-,2066,世德,1150911,5.880709265538863,211148,11.854646246829205,199871,223565,電機機械,8.680888660880965,1754325,1906616,11508
-,2067,嘉鋼,1150911,6.079184322033898,75520,-0.8858426021007831,80827,80111,電機機械,-9.04852222958355,682244,620511,11508
-,2070,精湛,1150911,-30.281955241017148,106258,15.818520081922362,63963,74081,電機機械,24.850595835915406,421173,525837,11508
主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。,2073,雄順,1150911,4.260702771089254,147018,249.78321391082105,43822,153282,鋼鐵工業,80.3361175138126,377011,679887,11508
本公司相關工程案訂單持續出貨所致。,2221,大甲,1150911,42.19236300414261,139767,81.31871139616996,109607,198738,其他,29.091341365027425,887484,1145665,11508
酒水事業收入減少,2230,泰茂,1150911,-70.62172217490699,133854,-84.12389530588268,247693,39324,居家生活,17.812198520741774,1119480,1318884,11508
-,2235,謚源,1150911,60.45598567295771,29036,-7.104260961457939,50153,46590,電機機械,-3.382332368134174,378851,366037,11508
本公司「綠意領航1號」建案完工、陸續交屋中，故本年單月及累計營業收入淨額均較去年同期增加。,2596,綠意,1150911,204.39964524491745,146580,1287.8783165883854,32149,446189,建材營造,51.48817312985642,886456,1342876,11508
-,2640,大車隊,1150911,2.151839425993755,292401,19.243006734772905,250491,298693,數位雲端,10.36535131062689,2044060,2255934,11508
-,2641,正德,1150911,-1.3549295345161438,196763,-41.239884839292685,330321,194097,航運業,-0.07570177070774783,1569316,1568128,11508
-,2643,捷迅,1150911,13.52986100070408,704464,7.804528243900269,741877,799777,航運業,-9.584419951167956,5436594,4915528,11508
配合銷售個案交屋認列收入,2718,全心投控,1150911,40.52731860548947,19419,-93.09852102132481,395408,27289,建材營造,-89.69266460516486,2688008,277062,11508
-,2719,燦星旅,1150911,-0.7904022582921666,120445,-22.944032810353832,155073,119493,觀光餐旅,-23.177707817000467,1418255,1089536,11508
營收增加係因不動產代銷個案銷售成長所致。,2724,藝舍-KY,1150911,-30.5192335819804,34185,227.70419426048565,7248,23752,其他,57.3466120946639,104327,164155,11508
-,2726,雅茗-KY,1150911,5.3839945629088435,47084,11.019376202622276,44694,49619,觀光餐旅,-6.489788608945466,396469,370739,11508
-,2729,瓦城,1150911,20.88539969387251,506325,2.4422533938317703,597481,612073,觀光餐旅,5.955593543894599,4160341,4408114,11508
-,2732,六角,1150911,7.127591724384867,446855,15.261448373667596,415321,478705,觀光餐旅,29.548488494488677,2762676,3579005,11508
本月營收較去年同期成長，主係因國外團體旅遊營收成長所致。,2734,易飛網,1150911,9.836164150384842,216192,53.642139862311716,154552,237457,觀光餐旅,32.937667797869686,1108849,1474078,11508
-,2736,富野,1150911,-0.8430986671437517,44716,24.93730451689256,35489,44339,觀光餐旅,14.804559192603234,335498,385167,11508
差異原因為門店數及商品銷售金額均較去年同期減少,2740,華軒,1150911,16.996507566938302,3436,-58.91670924885028,9785,4020,觀光餐旅,-60.81895655788817,96220,37700,11508
-,2743,山富,1150911,-12.363095153319186,561704,0.6234541403487255,489210,492260,觀光餐旅,0.7969019834054644,4469182,4504797,11508
-,2745,五福,1150911,-16.266115795906224,937667,10.416467438079755,711076,785145,觀光餐旅,15.514619920945004,5862754,6772338,11508
-,2751,王座,1150911,13.128309640345455,179589,4.761462780768516,193932,203166,觀光餐旅,24.061151213474393,1124622,1395219,11508
-,2752,豆府,1150911,11.34350867729702,363362,8.786430870415135,371903,404580,觀光餐旅,10.37657843617935,2680026,2958121,11508
-,2754,亞洲藏壽司,1150911,14.079317767842358,507276,6.981864566579779,540930,578697,觀光餐旅,6.343932822929551,3832260,4075376,11508
-,2755,揚秦,1150911,-0.38109805080878906,311206,15.218659758948382,269071,310020,觀光餐旅,18.699996940929346,1961380,2328158,11508
-,2756,聯發國際,1150911,-9.243961486573895,108222,-17.56984717128398,119153,98218,觀光餐旅,11.79470208637314,731269,817520,11508
-,2916,滿心,1150911,13.444094084810585,113217,2.3500067735020598,125489,128438,居家生活,1.2255315695503977,1232200,1247301,11508
因本期子公司工程收入及嬰童用品收入較去年同期減少，而子公司累計工程收入較去年同期增加所致,2924,宏太-KY,1150911,-26.754832146490337,2949,-45.89178356713427,3992,2160,居家生活,1.5724402832793183,33324,33848,11508
-,2926,誠品生活,1150911,8.18699656396102,568096,2.1399999002873384,601729,614606,文化創意業,4.219302285059989,4499488,4689335,11508
-,2937,集雅社,1150911,-12.785377493314815,472313,4.787779346485036,393105,411926,居家生活,12.497743316931295,3118515,3508259,11508
-,2941,米斯特,1150911,5.726159554730983,67375,-21.628103992694545,90891,71233,居家生活,-5.341324422767082,638044,603964,11508
-,2947,振宇五金,1150911,-5.169191690102513,220460,1.7506460891530027,205467,209064,居家生活,6.902127620206874,1513287,1617736,11508
-,2948,寶陞,1150911,-7.6397583965221925,199666,-1.359692758646512,186954,184412,居家生活,1.5024621958810576,1463531,1485520,11508
-,2949,欣新網,1150911,16.06666316846824,533608,38.44446381748805,447357,619341,數位雲端,26.076383712719498,3414419,4304776,11508
-,3064,泰偉,1150911,-4.0081620754991985,6861,6.517871583373767,6183,6586,文化創意業,-3.134840604323674,56526,54754,11508
-,3066,李洲,1150911,-13.973839780291394,21483,18.89475038600103,15544,18481,光電業,3.5018919058583053,174163,180262,11508
