不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,69687120,,,1101,台泥,,,26423806,,,,,,,,,,,,,,,,,,,,3,上市,113,-732459,,,,,,,,,,,,,,,,,,,,,303383722,,,,246909945,,20000000,,31.94,85893664,171245549,,,,,,,,,77511817,,,283103817,,,74019661,586487539,,,,,,,,,,,,,,56473777,197210153,415241990,0
,,,,120421718,,,1102,亞泥,,,13615934,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,200737969,,,,177752368,,0,,50.12,77548186,113444327,,,,,,,,,35465629,,,128053628,,,8249087,328791597,,,,,,,,,,,,,,22985601,50505442,215347270,0
,,,,10382067,,,1103,嘉泥,,,3107286,,,,,,,,,,,,,,,,,,,,3,上市,113,-1055710,,,,,,,,,,,,,,,,,,,,,22458134,,,,21712094,,129917726,,32.88,2454258,10246779,,,,,,,,,7902474,,,13545346,,,1375977,36003480,,,,,,,,,,,,,,746040,11091088,25756701,0
,,,,13964890,,,1104,環泥,,,2332070,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,24061520,,,,23286571,,0,,33.91,3625437,6680330,,,,,,,,,6866818,,,5013100,,,122793,29074620,,,,,,,,,,,,,,774949,1387663,22394290,0
,,,,1003173,,,1108,幸福,,,-10486,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,5040152,,,,5040085,,0,,12.45,4034244,5810858,,,,,,,,,4047380,,,5060363,,,18,10100515,,,,,,,,,,,,,,67,1026119,4289657,0
,,,,4844854,,,1109,信大,,,-55232,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,10101395,,,,8216935,,0,,24.09,857321,6227525,,,,,,,,,3411589,,,1015166,,,15724,11116561,,,,,,,,,,,,,,1884460,157845,4889036,0
,,,,2477043,,,1110,東泥,,,971715,,,,,,,,,,,,,,,,,,,,3,上市,113,-12185,,,,,,,,,,,,,,,,,,,,,9486234,,,,9345479,,2112865,,16.40,1905948,2810611,,,,,,,,,5720008,,,3066626,,,188898,12552860,,,,,,,,,,,,,,140755,1160678,9742249,0
,,,,2701934,,,1201,味全,,,-155503,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,7650901,,,,7643175,,0,,15.10,7070007,6862541,,,,,,,,,5060629,,,10358160,,,36115,18009061,,,,,,,,,,,,,,7726,3288153,11146520,0
,,,,3356560,,,1203,味王,,,215425,,,,,,,,,,,,,,,,,,,,3,上市,113,-38464,,,,,0,,,,,,,,,,,,,,,,6916910,,,,5982918,,2293865,,25.17,2066531,4671234,,,,,,,,,2400000,,,3415614,,,49397,10332524,,,,,,,,,,,,,,933992,1349083,5661290,0
,,,,10687023,,,1210,大成,,,1603378,,,,,,,,,,,,,,,,,,,,3,上市,113,-734822,,,,,,,,,,,,,,,,,,,,,33016010,,,,24650388,,49059471,,29.15,31058028,29541586,,,,,,,,,8947673,,,34749918,,,4147136,67765928,,,,,,,,,,,,,,8365622,3691890,38224342,0
,,,,-403354,,,1213,大飲,,,-163,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,184647,,,,184647,,0,,3.26,735181,566806,,,,,,,,,566226,,,770890,,,21938,955537,,,,,,,,,,,,,,,35709,388731,0
,,,,5769852,,,1215,卜蜂,,,1489142,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,10667297,,,,10219166,,0,,34.67,9732339,8557414,,,,,,,,,2947901,,,19160100,,,12271,29827397,,,,,,,,,,,,,,448131,9427761,21269983,0
,,,,71724103,,,1216,統一,,,-1488772,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,201528224,,,,129851116,,0,,22.85,253714575,240435281,,,,,,,,,56820154,,,503390416,,,2795631,704918640,,,,,,,,,,,,,,71677108,249675841,464483359,0
,,,,1358761,,,1217,愛之味,,,957679,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,8316921,,,,7529718,,0,,15.23,3474519,3161260,,,,,,,,,4945134,,,6937940,,,268144,15254861,,,,,,,,,,,,,,787203,3463421,12093601,0
,,,,6986170,,,1218,泰山,,,-86714,,,,,,,,,,,,,,,,,,,,3,上市,113,-203876,,,,,,,,,,,,,,,,,,,,,12715350,,,,12710067,,13680042,,26.14,1538514,6284323,,,,,,,,,4999990,,,1975995,,,1014497,14691345,,,,,,,,,,,,,,5283,437481,8407022,0
,,,,1073722,,,1219,福壽,,,-2147,,,,,,,,,,,,,,,,,,,,3,上市,113,-6735,,,,,,,,,,,,,,,,,,,,,4572481,,,,4495894,,364000,,13.18,3364302,5362817,,,,,,,,,3416024,,,5303126,,,15030,9875607,,,,,,,,,,,,,,76587,1938824,4512790,0
,,,,651590,,,1220,台榮,,,0,,,,,,,,,,,,,,,,,,,,3,上市,113,-10881,,,,,,,,,,,,,,,,,,,,,2641345,,,,2435603,,679000,,13.81,481667,1972890,,,,,,,,,1770779,,,667198,,,24115,3308543,,,,,,,,,,,,,,205742,185531,1335653,0
,,,,1149948,,,1225,福懋油,,,-97248,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,3899966,,,,3472741,,0,,15.12,3576070,4943050,,,,,,,,,2296382,,,4790764,,,123659,8690730,,,,,,,,,,,,,,427225,1214694,3747680,0
,,,,8597489,,,1227,佳格,,,-129255,,,,,,,,,,,,,,,,,,,,3,上市,113,-21182,,,,,0,,,,,,,,,,,,,,,,18074917,,,,17771871,,6669471,,19.56,8268389,18890640,,,,,,,,,9150897,,,8744770,,,173922,26819687,,,,,,,,,,,,,,303046,476381,7929047,0
,,,,15190530,,,1229,聯華,,,14536624,,,,,,,,,,,,,,,,,,,,3,上市,113,-136868,,,,,0,,,,,,,,,,,,,,,,68072211,,,,47848033,,6894000,,28.09,14851590,16595626,,,,,,,,,17104388,,,18896172,,,1153359,86968383,,,,,,,,,,,,,,20224178,4044582,70372757,0
,,,,3289076,,,1231,聯華食,,,18295,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,6133226,,,,6114433,,0,,22.54,4019829,5477654,,,,,,,,,2713222,,,7767024,,,93840,13900250,,,,,,,,,,,,,,18793,3747195,8422596,0
,,,,3681708,,,1232,大統益,,,4970,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,5471558,,,,5310211,,0,,33.19,2181152,6373934,,,,,,,,,1599749,,,3447656,,,23784,8919214,,,,,,,,,,,,,,161347,1266504,2545280,0
,,,,475313,,,1233,天仁,,,13007,,,,,,,,,,,,,,,,,,,,3,上市,113,-1974,,,,,0,,,,,,,,,,,,,,,,1414566,,,,1410449,,43000,,15.58,562991,690630,,,,,,,,,905919,,,836597,,,18184,2251163,,,,,,,,,,,,,,4117,273606,1560533,0
,,,,14354982,,,1234,黑松,,,121936,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,,,,,,,,,,,,,,,,,18682711,,,,18682711,,0,,46.49,2748404,8700388,,,,,,,,,4018711,,,5121003,,,187082,23803714,,,,,,,,,,,,,,0,2372599,15103326,0
,,,,1095464,,,1235,興泰,,,832936,,,,,,,,,,,,,,,,,,,,3,上市,113,-853562,,,,,,,,,,,,,,,,,,,,,3519848,,,,2968104,,119079643,,77.97,2332258,1546138,,,,,,,,,1571480,,,2756928,,,321786,6276776,,,,,,,,,,,,,,551744,424670,4730638,0
,,,,1134768,,,1236,宏亞,,,555732,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,2591445,,,,2591445,,0,,29.90,553820,670784,,,,,,,,,866740,,,1328611,,,34205,3920056,,,,,,,,,,,,,,,774791,3249272,0
,,,,1950623,,,1256,鮮活果汁-KY,,,14985,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,3449592,,,,3449592,,0,,101.93,978660,2038080,,,,,,,,,338422,,,1053801,,,1145562,4503393,,,,,,,,,,,,,,0,75141,2465313,0
,,,,202959009,,,1301,台塑,0,,36474681,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,,,,,,,,,,,,,,,,0,314928358,,,,314928358,,0,,49.47,119736244,142709436,,,,,,,,,63657408,,,206748276,,,11837260,521676634,,,,,,,,,,,,,,0,87012032,378967198,0
,,,,228337917,,,1303,南亞,,,21287821,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,372587724,,,,356670336,,0,,44.97,141063311,195751912,,,,,,,,,79308216,,,259083513,,,27736382,631671237,,,,,,,,,,,,,,15917388,118020202,435919325,0
,,,,9806641,,,1304,台聚,,,161920,,,,,,,,,,,,,,,,,,,,3,上市,113,-475606,,,,,,,,,,,,,,,,,,,,,44496289,,,,21870600,,116465574,,20.40,14422184,28342732,,,,,,,,,11887635,,,27564584,,,490010,72060873,,,,,,,,,,,,,,22625689,13142400,43718141,0
,,,,3160696,,,1305,華夏,,,46844,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,9620538,,,,9035773,,0,,15.55,5070518,6727368,,,,,,,,,5810505,,,8372206,,,17728,17992744,,,,,,,,,,,,,,584765,3301688,11265376,0
,,,,5420446,,,1307,三芳,,,142455,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,9690381,,,,9690381,,0,,24.36,4135377,9352896,,,,,,,,,3978181,,,7236469,,,149299,16926850,,,,,,,,,,,,,,,3101092,7573954,0
