不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險合約負債,保險合約負債及再保險合約負債,保險合約資產,保險合約資產及再保險合約資產－淨額,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,再保險合約負債,再保險合約資產,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資性不動產,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,按攤銷後成本衡量之金融資產,採用權益法之投資－淨額,放款,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,避險之金融資產,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,60971176,,,,,,1101,台泥,,,29310808,,,,,,,,,,,,,,,,,1,上市,115,-979439,,,,,,,,,,,,,,,,,,,,,,,304745616,,,,241451494,,30000000,,31.39,82516661,184722314,,,,,,,,,77231817,,,292869670,,,74917132,597615286,,,,,,,,,,,,,,,63294122,210353009,412892972,0
,,,,120372322,,,,,,1102,亞泥,,,13057985,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,200946359,,,,177141226,,0,,49.95,73132379,94593171,,,,,,,,,35465629,,,128784897,,,8245290,329731256,,,,,,,,,,,,,,,23805133,55652518,235138085,0
,,,,10366146,,,,,,1103,嘉泥,,,-494270,,,,,,,,,,,,,,,,,1,上市,115,-1079060,,,,,,,,,,,,,,,,,,,,,,,18739535,,,,18153815,,131491726,,27.56,3870134,9362513,,,,,,,,,7902474,,,14017768,,,1458525,32757303,,,,,,,,,,,,,,,585720,10147634,23394790,0
,,,,15232158,,,,,,1104,環泥,,,2753961,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,25760526,,,,24981853,,0,,36.38,4410523,7669095,,,,,,,,,6866818,,,5780531,,,128916,31541057,,,,,,,,,,,,,,,778673,1370008,23871962,0
,,,,1401999,,,,,,1108,幸福,,,-27782,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,5421681,,,,5421619,,0,,13.40,4480873,5834525,,,,,,,,,4047380,,,4923631,,,22,10345312,,,,,,,,,,,,,,,62,442758,4510787,0
,,,,5011389,,,,,,1109,信大,,,23805,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,10406785,,,,8462745,,0,,24.81,928832,5601241,,,,,,,,,3411589,,,1056245,,,15962,11463030,,,,,,,,,,,,,,,1944040,127413,5861789,0
,,,,2638609,,,,,,1110,東泥,,,941729,,,,,,,,,,,,,,,,,1,上市,115,-8863,,,,,,,,,,,,,,,,,,,,,,,9659452,,,,9482424,,1536865,,16.62,1931603,2827051,,,,,,,,,5720008,,,3130316,,,190941,12789768,,,,,,,,,,,,,,,177028,1198713,9962717,0
,,,,2728496,,,,,,1201,味全,,,-63234,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,7783808,,,,7775285,,0,,15.36,6226099,6636593,,,,,,,,,5060629,,,10657178,,,49394,18440986,,,,,,,,,,,,,,,8523,4431079,11804393,0
,,,,3880899,,,,,,1203,味王,,,212321,,,,,,,,,,,,,,,,,1,上市,115,-38464,,,,,0,,,,,,,,,,,,,,,,,,7592544,,,,6511537,,2293865,,27.39,1735171,5022031,,,,,,,,,2400000,,,3144376,,,56781,10736920,,,,,,,,,,,,,,,1081007,1409205,5714889,0
,,,,10947696,,,,,,1210,大成,,,1716642,,,,,,,,,,,,,,,,,1,上市,115,-734821,,,,,,,,,,,,,,,,,,,,,,,34417229,,,,25151978,,58059471,,30.06,38581024,32105270,,,,,,,,,8947673,,,42538320,,,4274788,76955549,,,,,,,,,,,,,,,9265251,3957296,44850279,0
