保留盈餘,公司代號,公司名稱,共同控制下前手權益,其他權益,出表日期,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
62929089.00,1101,台泥,,29325114.00,1150905,,2,115,-979439.00,,,299322066.00,237429168.00,30000000.00,30.86,108722932.00,195322468.00,77231817.00,296694465.00,68922587.00,596016531.00,61892898.00,187971533.00,400694063.00,0.00
125602305.00,1102,亞泥,,15108397.00,1150905,,2,115,,,,208363284.00,184424320.00,0.00,52.00,69583764.00,102312109.00,35465629.00,128904760.00,8247989.00,337268044.00,23938964.00,59320996.00,234955935.00,0.00
10099318.00,1103,嘉泥,,-173832.00,1150905,,2,115,-1225259.00,,,18790600.00,18705939.00,131491726.00,26.67,3996922.00,9689726.00,8328746.00,15082436.00,1676966.00,33873036.00,84661.00,11085514.00,24183310.00,0.00
14450405.00,1104,環泥,,3194814.00,1150905,,2,115,,,,25398552.00,24640953.00,0.00,35.88,4980332.00,7970447.00,6866818.00,6342409.00,128916.00,31740961.00,757599.00,1362077.00,23770514.00,0.00
1420917.00,1108,幸福,,-453.00,1150905,,2,115,,,,5467928.00,5467866.00,0.00,13.51,4404275.00,5793470.00,4047380.00,4809287.00,22.00,10277215.00,62.00,405012.00,4483745.00,0.00
4750573.00,1109,信大,,65793.00,1150905,,2,115,,0.00,,10178824.00,8244089.00,0.00,24.16,1210318.00,5528239.00,3411589.00,1319710.00,16134.00,11498534.00,1934735.00,109392.00,5970295.00,0.00
2634692.00,1110,東泥,,967183.00,1150905,,2,115,-8863.00,,,9676727.00,9503961.00,1536865.00,16.66,2333399.00,3288026.00,5720008.00,3689682.00,190941.00,13366409.00,172766.00,1356283.00,10078383.00,0.00
2870495.00,1201,味全,,-23142.00,1150905,,2,115,,0.00,,7965188.00,7957376.00,0.00,15.72,6645576.00,7119755.00,5060629.00,11082256.00,49394.00,19047444.00,7812.00,4436680.00,11927689.00,0.00
3745309.00,1203,味王,,328151.00,1150905,,2,115,-38464.00,0.00,0.00,7356233.00,6496367.00,2293865.00,27.33,1995149.00,4864200.00,2400000.00,3356196.00,61371.00,10712429.00,859866.00,1361047.00,5848229.00,0.00
11394216.00,1210,大成,0.00,1649829.00,1150905,,2,115,-734821.00,,0.00,34750389.00,25531685.00,58059471.00,30.51,40000743.00,33847731.00,8947673.00,43834881.00,4274788.00,78585270.00,9218704.00,3834138.00,44737539.00,0.00
32665.00,1213,大飲,,848.00,1150905,,2,115,,0.00,,621677.00,621677.00,0.00,10.98,67964.00,228166.00,566226.00,118772.00,21938.00,740449.00,,50808.00,512283.00,0.00
7116792.00,1215,卜蜂,,832263.00,1150905,,2,115,,0.00,,11363139.00,10933923.00,0.00,37.09,10709784.00,9291226.00,2947901.00,21421630.00,36967.00,32784769.00,429216.00,10711846.00,23493543.00,0.00
76878798.00,1216,統一,,-20681.00,1150905,,2,115,,0.00,,211740391.00,136316717.00,0.00,23.99,300597689.00,260285451.00,56820154.00,551120224.00,2638446.00,762860615.00,75423674.00,250522535.00,502575164.00,0.00
1351666.00,1217,愛之味,,1117879.00,1150905,,2,115,,0.00,,8459959.00,7680836.00,0.00,15.53,3173113.00,2873199.00,4945134.00,7240174.00,266157.00,15700133.00,779123.00,4067061.00,12826934.00,0.00
5724910.00,1218,泰山,,-48608.00,1150905,,2,115,-203876.00,,,11529396.00,11523700.00,13680042.00,23.70,2443606.00,5327686.00,4999990.00,2814738.00,1051284.00,14344134.00,5696.00,371132.00,9016448.00,0.00
556689.00,1219,福壽,,1956.00,1150905,,2,115,0.00,,,4009788.00,3982964.00,0.00,11.67,3513868.00,5071684.00,3412384.00,5628012.00,11935.00,9637800.00,26824.00,2114144.00,4566116.00,0.00
496934.00,1220,台榮,,-571.00,1150905,,2,115,-10881.00,,,2488330.00,2281474.00,679000.00,12.93,823831.00,2147838.00,1770779.00,991872.00,25213.00,3480202.00,206856.00,168041.00,1332364.00,0.00
1303157.00,1225,福懋油,,-93810.00,1150905,,2,115,,,,4272269.00,3757649.00,0.00,15.51,3495805.00,5263691.00,2422683.00,4318673.00,125619.00,8590942.00,514620.00,822868.00,3327251.00,0.00
8560485.00,1227,佳格,,425553.00,1150905,,2,115,-21182.00,0.00,,18583130.00,18299012.00,6669471.00,20.14,12034961.00,19844366.00,9150897.00,12431323.00,183259.00,31014453.00,284118.00,396362.00,11170087.00,0.00
16497966.00,1229,聯華,,27178502.00,1150905,,2,115,-183509.00,0.00,,88986823.00,62832220.00,7238000.00,35.13,20177972.00,17950855.00,18318799.00,22368830.00,1020462.00,111355653.00,26154603.00,2190858.00,93404798.00,0.00
