公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1101,台泥,89650,2,上市,115,3771693,90165009,93299014,3134005,7903379,-8630717
1102,亞泥,240824,2,上市,115,993618,12981458,16216993,3235535,3028658,-1027565
1103,嘉泥,12859,2,上市,115,-561550,1875061,1801271,-73790,-324485,799386
1104,環泥,2841,2,上市,115,-394680,1727996,1160917,-567079,752168,-927408
1108,幸福,,2,上市,115,-55581,281232,336952,55720,149111,-37810
1109,信大,42183,2,上市,115,-491398,2360669,2012012,-348657,139410,-38852
1110,東泥,,2,上市,115,-281094,618253,601405,-16848,402552,-138306
1201,味全,29130,2,上市,115,-677629,963800,1263989,300189,256095,692593
1203,味王,-59960,2,上市,115,-37291,2188536,2254872,66336,496918,-333331
1210,大成,409895,2,上市,115,-3856442,8709608,8133442,-576166,2726228,144153
1213,大飲,497,2,上市,115,-25963,45065,17707,-27358,4784,-6676
1215,卜蜂,-69,2,上市,115,-2007462,301893,251021,-50872,1251944,704715
1216,統一,-37538,2,上市,115,-18689751,103180043,111954151,8774108,30750026,-3248629
1217,愛之味,-22405,2,上市,115,-18294,612023,552580,-59443,102130,-120874
1218,泰山,15893,2,上市,115,-137708,700264,927695,227431,356968,-7722
1219,福壽,166,2,上市,115,-120741,808417,832111,23694,-220394,364663
1220,台榮,,2,上市,115,-102216,309593,269289,-40304,10149,51763
1225,福懋油,4525,2,上市,115,-68749,1165346,1653037,487691,183315,368600
1227,佳格,62409,2,上市,115,-2765683,2676699,2060251,-616448,180710,1906116
1229,聯華,52551,2,上市,115,-971294,5379898,5964728,584830,1287962,215611
1231,聯華食,4411,2,上市,115,-841772,472877,628538,155661,274492,718530
1232,大統益,,2,上市,115,-189324,2689951,3172462,482511,696778,-24943
1233,天仁,2827,2,上市,115,-18246,154735,186635,31900,148645,-101326
1234,黑松,11375,2,上市,115,-254287,1207454,1282802,75348,430475,-112215
1235,興泰,,2,上市,115,168123,85895,56603,-29292,-3370,-194045
1236,宏亞,,2,上市,115,25412,36996,65152,28156,97110,-94366
1256,鮮活果汁-KY,74714,2,上市,115,-93963,656916,1050931,394015,294969,118295
1301,台塑,459179,2,上市,115,-3263156,10631822,10990533,358711,-4083686,7246374
1303,南亞,3214212,2,上市,115,-14387540,46149879,41946162,-4203717,3278205,3691406
1304,台聚,126508,2,上市,115,-794162,3897651,4713272,815621,-538301,2021576
1305,華夏,1582,2,上市,115,-1119029,512420,969419,456999,242286,1332160
1307,三芳,95220,2,上市,115,-108991,3577125,3581708,4583,-149507,167861
1308,亞聚,12951,2,上市,115,51,590455,776990,186535,375052,-201519
1309,台達化,-1667,2,上市,115,355467,669196,338980,-330216,-1101560,417544
1310,台苯,-103,2,上市,115,1928153,568522,1016314,447792,-326302,-1153956
1312,國喬,227976,2,上市,115,-1276573,8331891,7715609,-616282,47405,384910
1313,聯成,1862,2,上市,115,234375,3174614,3014132,-160482,-327364,-69355
1314,中石化,-42695,2,上市,115,3444913,1822499,2243908,421409,348987,-3329796
1315,達新,9659,2,上市,115,-353647,2383997,1841400,-542597,44793,-243402
1316,上曜,4707,2,上市,115,-56038,2907472,2925693,18221,-1025962,1095514
1319,東陽,35830,2,上市,115,-1212360,2661707,5265545,2603838,4436563,-656195
1321,大洋,6838,2,上市,115,-69587,438417,580998,142581,148212,57118
1323,永裕,51950,2,上市,115,31169,946860,846891,-99969,71869,-254957
1324,地球,1813,2,上市,115,-2083,219749,240814,21065,25341,-4006
1325,恆大,6905,2,上市,115,2612,368024,353052,-14972,-24534,45
1326,台化,-641739,2,上市,115,-2745336,17194155,18436040,1241885,-446000,5074960
1337,再生-KY,85450,2,上市,115,-414877,1499367,1056116,-443251,-80018,-33806
1338,廣華-KY,117344,2,上市,115,-281382,2057375,2218228,160853,209097,115794
1339,昭輝,-5572,2,上市,115,-80892,613253,670352,57099,222008,-78445
