保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,2925335,,,,,,,,,,0.82,3,,上市,112,3035124,,,,,,,,7504699,,10430034,,,,,,6195906,1308793,,,6596656,,3943167,66737333,80966464,14229131,14229131,7632475,,10539823,,9027678,1402356,7504699,,,,,
,,1102,亞泥,,,5601002,,,,,,,,,,2.88,3,,上市,112,2184902,,,,,,,,9803069,,15404071,,,,,,9557190,245879,,,5992893,,5995078,52098598,60239086,8140488,8140488,2147595,,11987971,,14706569,697502,9803069,,,,,
,,1103,嘉泥,,,49699,,,,,,,,,,0.21,3,,上市,112,2353,,,,,,,,147541,,197240,,,,,,135442,12099,,,-126554,,276448,1866223,2115231,249008,249008,375562,,149894,,183592,13648,147541,,,,,
,,1104,環泥,,,401741,,,,,,,,,,2.45,3,,上市,112,175221,,,,,,,,1868918,,2270659,,,,,,1647197,221721,,,664888,,1379251,4538549,5627754,1089205,1089205,424317,,2044139,,2048518,222141,1868918,,,,,
,,1108,幸福,1900,,-46248,,,,,,,,,,1.16,3,,上市,112,99657,,,,,,,,468559,,422311,,,,,,468559,,,,507659,,60557,2984407,3689989,705582,705582,199823,,568216,,422311,,468559,,,,,
,,1109,信大,,,11571,,,,,,,,,,1.36,3,,上市,112,226379,,,,,,,,562562,,574133,,,,,,462965,99597,,,697200,,91741,3686108,4625787,939679,939679,242479,,788941,,470658,103475,562562,,,,,
,,1110,東泥,,,173609,,,,,,,,,,0.28,3,,上市,112,36931,,,,,,,,140903,,314512,,,,,,157234,-16331,,,4172,,173662,1527142,1641523,114381,114381,110209,,177834,,330831,-16319,140903,,,,,
,,1201,味全,,,62875,,,,,,,,,,0.45,3,,上市,112,87427,,,,,,,,226690,,289565,,,,,,225987,703,,,262004,,52113,11671062,15990330,4319268,4319268,4057264,,314117,,288802,763,226690,,,,,
,,1203,味王,,,4911,,,,,,,,,,1.35,3,,上市,112,200533,,,,,,,,487349,,492260,,,,,,321879,165470,,,563695,,124187,3404243,4731566,1327323,1327323,763628,,687882,,348882,143378,487349,,,,,
,,1210,大成,,,317251,,,,,,,,,,3.68,3,,上市,112,881181,,,,,,,,3726744,,4043995,,,,,,3115566,611178,,,4509739,,98186,72057602,83009411,10951809,10951809,6442070,,4607925,,3271126,772869,3726744,,,,,
,0,1213,大飲,,,5,,,,,,,,,,-1.71,3,,上市,112,16179,,,,,,,,-96894,,-96889,,,,,,-96894,,,,-106671,,25956,178085,108491,-69594,-69594,37077,,-80715,,-96889,,-96894,,,,,
,,1215,卜蜂,23267,,-413392,,,,,,,,,,5.67,3,,上市,112,407725,,,,,,,,1661865,,1248473,,,,,,1672414,-10549,,,2146932,,-77342,18292192,21950444,3658252,3658252,1534587,,2069590,,1259022,-10549,1661865,,,,,
,,1216,統一,,,1825199,,,,,,,,,,2.95,3,,上市,112,15489797,,,,,,,,26709876,,28535075,,,,,,16774091,9935785,,,24119257,,18080416,292156515,433848346,141691831,141691831,117572574,,42199673,,18865783,9669292,26709876,,,,,
,,1217,愛之味,,,42956,,,,,,,,,,0.36,3,,上市,112,41909,,,,,,,,189218,,232174,,,,,,176479,12739,,,163544,,67583,2813382,3957479,1144097,1144097,980553,,231127,,225487,6687,189218,,,,,
,,1218,泰山,,,-43670,,,,,,,,,,-0.57,3,6171,上市,112,209065,,,,,,587,,-277407,,-321077,,,,,,-277582,175,,,-216904,,148562,7439941,8573732,1133791,1139375,1356279,,-68342,,-321247,170,-277407,,,,,
,,1219,福壽,,,31,,,,,,,,,,0.70,3,700,上市,112,43278,,,,,,1200,,255664,,255695,,,,,,232559,23105,,,284887,,14055,11275481,12380972,1111279,1110779,825892,5788,298942,,232586,23109,255664,,,,,
,,1220,台榮,,,0,,,,,,,,,,0.39,3,,上市,112,18773,,,,,,,,89048,,89048,,,,,,68480,20568,,,82774,,25047,2076529,2353276,276747,276747,193973,,107821,,68480,20568,89048,,,,,
,,1225,福懋油,8,,2974,,,,,,34265,,,,1.02,3,,上市,112,48433,,,,,,205,,257893,,260867,,,,,,234392,23501,,,289505,,16821,10198063,10912671,748873,748668,459171,,306326,,237366,23501,257893,,,,,
,,1227,佳格,,,36562,,,,,,,,,,1.04,3,,上市,112,245305,,,,,,,,974063,,1010625,,,,,,944406,29657,,,1012238,,207130,15640520,20129635,4489115,4489115,3476877,,1219368,,1050932,-40307,974063,,,,,
,,1229,聯華,,,5876108,,,,,,,,,,2.14,3,,上市,112,114487,,,,,,,,4005546,,9881654,,,,,,3383428,622118,,,1036249,,3083784,7276295,9286745,2010450,2010450,974201,,4120033,,7526968,2354686,4005546,,,,,
,,1231,聯華食,,,408,,,,,,,,,,2.01,3,,上市,112,136178,,,,,,,,495640,,496048,,,,,,495554,86,,,663936,,-32118,6297036,7989458,1692422,1692422,1028486,,631818,,495932,116,495640,,,,,
,,1232,大統益,,,-2274,,,,,,,,,,5.47,3,,上市,112,239124,,,,,,,,912369,,910095,,,,,,874908,37461,,,1092759,,58734,15868979,17707757,1838778,1838778,746019,,1151493,,872634,37461,912369,,,,,
,0,1233,天仁,,,-31784,,,,,,0,,,,0.89,3,0,上市,112,19170,,,,,,0,,81042,,49258,,,,,,80933,109,,,85890,,14322,657519,1559270,901751,901751,815861,0,100212,,49214,44,81042,,,,,
,,1234,黑松,,,385,,,,,,,,,,1.92,3,,上市,112,202185,,,,,,,,773530,,773915,,,,,,773530,,,,600127,,375588,5681782,7964124,2282342,2282342,1682215,,975715,,773915,,773530,,,,,
,,1235,興泰,,,238579,,,,,,,,,,1.90,3,,上市,112,3069,,,,,,,,61410,,299989,,,,,,69060,-7650,,,-3050,,67529,26038,32440,6402,6402,9452,,64479,,248034,51955,61410,,,,,
,,1236,宏亞,,,-223118,,,,,,,,,,0.13,3,,上市,112,24463,,,,,,,,13454,,-209664,,,,,,13454,,,,20692,,17225,1022188,1421569,399381,399381,378689,,37917,,-209664,,13454,,,,,
,,1256,鮮活果汁-KY,,,7627,,,,,,,,,,12.76,3,,上市,112,173347,,,,,,,,493120,,500747,,,,,,431955,61165,,,598817,,67650,2754376,3904818,1150442,1150442,551625,,666467,,438374,62373,493120,,,,,
,,1301,台塑,,,8552603,,,,,,,,,,1.61,3,,上市,112,138039,,,,,,,,10238967,,18791570,,,,,,10238967,,,,-2280318,,12657324,143336396,151395932,8059536,8059536,10339854,,10377006,,18791570,,10238967,,,,,
