停業單位損益,公司代號,公司名稱,其他綜合損益（稅後）,利息以外淨損益,利息淨收益,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,市場,年度,所得稅費用（利益）,支出及費用,收益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,營業利益,營業外損益,營業費用,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）
,2801,彰銀,7471507,10607584,15221502,,,1490700,0.94,2,上市,115,1798702,,,,,11314353,,18785860,,11314353,,,,,11225331,,,18785860,,,11314353,13113055
,2812,台中銀,1382714,4970619,6858846,,,586803,0.87,2,上市,115,986315,,,,,5268867,,6651581,,5268867,,,,,4987480,,,6651581,,,5268867,6255182
,2820,華票,-186633,1574308,665492,,,109644,1.07,2,上市,115,311434,,,,,1436196,,1249563,,,,,,,382526,,,,,,1436196,1747630
,2834,臺企銀,3134183,7318636,11191590,,,853738,0.71,2,上市,115,1529383,,,,,7409568,,10543751,,7409568,,,,,8717537,,,10543751,,,7409568,8938951
,2836,高雄銀,1274787,808632,1869873,,,269115,0.39,2,上市,115,158367,,,,,750209,,2024996,,,,,,,1500814,,,,,,750209,908576
,2838,聯邦銀,771068,6735537,5249178,,,1387674,0.67,2,上市,115,601115,,,,,3612049,,4383117,,3618157,-6108,,,,6383877,,,4389220,-6103,,3612049,4213164
,2845,遠東銀,1763331,3570206,3708812,,,124733,0.54,2,上市,115,309956,,,,,2630947,,4394278,,2630947,,,,,4213382,,,4394278,,,2630947,2940903
0,2849,安泰銀,-90042,1448567,1885857,,,203187,0.54,2,上市,115,151985,,,,,1059487,,969445,,,,,,,1919765,,,,,,1059487,1211472
,2855,統一證,,,,,,,6.96,2,上市,115,838174,9576345,17544856,975576,11566523,,12542099,,,11138988,427535,,7968511,4436186,,12404697,,12108970,433129,11566523,,
,2897,王道銀行,851609,4758621,1695791,,,448265,0.54,2,上市,115,567787,,,,,2669326,,3520935,,1625874,1043452,,,,2769034,,,2603818,917117,,2669326,3237113
,5876,上海商銀,7014982,9075754,18352870,,,2181537,2.08,2,上市,115,2367464,,,,,12708433,,19723415,,10165383,2543050,,,,10171190,,,17880817,1842598,,12708433,15075897
,6005,群益證,,,,,,,3.24,2,上市,115,1111456,12604139,19197814,-655302,8430177,,7774875,,,7948928,481249,,6593675,2947958,,9541633,,7304589,470286,8430177,,
,6024,群益期,,,,,,,4.09,2,上市,115,182432,1886343,1127724,-24745,1085440,,1060695,,,1089419,-3979,,-758619,2026491,,1267872,,1064568,-3873,1085440,,
