備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,1101,台泥,1150911,-1.6630332295967223,13744103,10.649053245020621,12214776,13515534,水泥工業,2.699785952844798,96131621,98726969,11508
-,1102,亞泥,1150911,3.558369399160577,5398231,-1.2967348215780177,5663764,5590320,水泥工業,-6.556344483257107,46760798,43694999,11508
-,1103,嘉泥,1150911,-4.725117818439927,242322,-2.537128190407038,236882,230872,水泥工業,-8.999234241115033,2009771,1828907,11508
-,1104,環泥,1150911,-21.97019156106056,663235,-14.183306967535245,603054,517521,水泥工業,-6.611461479506897,5075610,4740038,11508
-,1108,幸福,1150911,-6.34663929293125,309786,-15.696382027238677,344143,290125,水泥工業,-18.569062370827073,3074851,2503880,11508
-,1109,信大,1150911,-8.021311638195222,292047,-26.473091967142665,365337,268621,水泥工業,-18.16660418242871,2955412,2418514,11508
-,1110,東泥,1150911,-34.997528801909525,261007,-28.178523955872766,236226,169661,水泥工業,-11.368330612954363,1915787,1697994,11508
-,1201,味全,1150911,0.45609112382299066,1991488,1.3080196339671886,1974741,2000571,食品工業,-0.8206283969162342,14557137,14437677,11508
-,1203,味王,1150911,6.8361572745390555,431017,-2.1148691306482776,470431,460482,食品工業,-9.122945315313725,3853876,3502289,11508
-,1210,大成,1150911,0.673865338764203,9639463,13.42129336519994,8556083,9704420,食品工業,9.050925655605084,66964322,73025213,11508
-,1213,大飲,1150911,22.954999232068808,32555,17.12312734082397,34176,40028,食品工業,15.839194414886714,192655,223170,11508
-,1215,卜蜂,1150911,-7.7654790594875385,2562688,1.3068797196628994,2333191,2363683,食品工業,4.6854447852652745,18462943,19328014,11508
-,1216,統一,1150911,1.5001213554030468,62168637,3.7908098747692303,60796560,63101242,食品工業,4.050033417999241,456749367,475247869,11508
-,1217,愛之味,1150911,34.42279791107439,505906,14.879251045657565,591972,680053,食品工業,0.9364439767642806,3506670,3539508,11508
-,1218,泰山,1150911,-5.807467681606405,563843,-48.01123376629733,1021563,531098,食品工業,-10.569440560379581,6851356,6127206,11508
-,1219,福壽,1150911,11.556069516051576,882904,-14.367353397369465,1150184,984933,食品工業,-4.796766703087737,9394745,8944101,11508
-,1220,台榮,1150911,29.29083574064727,279357,28.831968382604725,280352,361183,食品工業,1.6164591130512158,2110539,2144655,11508
-,1225,福懋油,1150911,-20.784845103352993,903312,-23.831705068732,939446,715560,食品工業,-1.5866274756432812,8177723,8047973,11508
-,1227,佳格,1150911,26.300417527291348,2077948,10.7046320808678,2370684,2624457,食品工業,7.385662640417827,17354367,18636102,11508
-,1229,聯華,1150911,-58.00226453858957,2104623,-13.12918865315421,1017481,883894,食品工業,-5.928266252287147,8528092,8022524,11508
