AccountingFirm,Address,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Chairman,CompanyAbbreviation,CompanyName,Date,DateOfIncorporation,DateOfListing,DeputySpokesperson,EmailAddress,Fax,GeneralManager,IssueShares,Paidin.Capital.NTDollars,ParValueOfCommonStock,PreferredStock.shares,PreparationOfFinancialReportType,PrivateStock.shares,Registration,SecuritiesCompanyCode,SecuritiesIndustryCode,Spokesman,StockTransferAgent,StockTransferAgentAddress,StockTransferAgentTelephone,Symbol,Telephone,TitleOfSpokesman,UnifiedBusinessNo.,WebAddress
勤業眾信聯合會計師事務所,"2F.,No.30,Sec. 1,Heping W.Rd.,Zhongzheng Dist.,Taipei City 100028TAIPEI,TAIWAN(R.O.C)",陳重成,洪偉倫,吳清德,茂生農經,茂生農經股份有限公司,1150904,19670218,20180808,邱紹齊,bedford@morn-sun.com.tw,02-23640694,吳清德,44232373,442323730,新台幣                 10.0000元,0,1,0,－ ,1240,33,林信鴻,元大證券股份有限公司股務代理部,106045台北市大安區敦化南路二段67號地下1樓,02-2586-5859,MORNSUN　,02-23671162,公司治理主管,18795706,https://www.morn-sun.com.tw/　
資誠聯合會計師事務所,"16 F.-3, No. 66, Jingmao 2nd Rd., Nangang Dist., Taipei CityTaipei City 115605, Taiwan (R.O.C.)",徐明釧,陳怡婷,黃茂雄,安心,安心食品服務股份有限公司,1150904,19901123,20111215,卓世賢,ir@mos.com.tw,(02)2567-5002,謝靜慧,32389500,323895000,新台幣                 10.0000元,0,1,0,－ ,1259,16,高順興,群益金鼎證券(股)公司股務代理部,(106)台北市大安區敦化南路二段97號B2,(02)27023999,AN-SHIN,(02)2567-5001,副董事長,23928945,http://www.mos.com.tw
勤業眾信聯合會計師事務所,"No.31,Wuquan 5th Rd.,Wugu Dist.,New Taipei City,Taiwan,R.O.C.",張耿禧,劉力維,林雪嬌,德麥,德麥食品股份有限公司,1150904,19890629,20150409,賴素瑛,ir@tehmag.com.tw,(02)2298-2263,吳文欽,37052367,370523670,新台幣                 10.0000元,0,1,0,－ ,1264,02,邱俊榮,富邦綜合證券(股)公司股務代理部,台北市中正區許昌街17號2樓,(02)2361-1300,TEHMAG,(02)2298-1347,財務經理,23420497,http://www.tehmag.com.tw
勤業眾信聯合會計師事務所,"21F-1, No.266, Cheng-Kung 1st Road,80146 Kaohsiung City,Taiwan, R.O.C.",陳珍麗,張慈媛,林淑婷,漢來美食,漢來美食股份有限公司,1150904,20030109,20170927,吳若寧,stock@hilai-foods.com,(07)215-5956,林淑婷,42223730,422237300,新台幣                 10.0000元,0,1,0,－ ,1268,16,柯柏良,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,(02)2371-1658,Hi-Lai Foods,(07)213-5788,財務長,80352343,www.hilai-foods.com
勤業眾信聯合會計師事務所,"No. 101, Gongye Rd., Xihu Township,Changhua County, Taiwan (R.O.C)",吳恪昌會計師,鍾鳴遠會計師,李雨霖,漢田生技,漢田生技股份有限公司,1150904,20071022,20240926,謝駿陽,IR@htbios.com,04-8823456,王國華,36625875,366258750,新台幣                 10.0000元,0,1,0,－ ,1294,02,王國華,中國信託商業銀行代理部,100台北市中正區重慶南路一段83號5樓,02-6636-5566,HTB,04-8811181,總經理,28814153,https://www.htbios.com/
安侯建業聯合會計師事務所,"NO.82,Beiling 6th Rd.,Luzhu Dist.,Kaohsiung City821,Taiwan",高鈺倫,陳永祥,楊連傳,生合,生合生物科技股份有限公司,1150904,20000601,20250527,蔡明儒,investor@synbiotech.com.tw,07-6955713,楊三連(執行長),37599800,375998000,新台幣                 10.0000元,0,1,0,－ ,1295,02,張秀如,台新證券股務代理部,台北市建國北路一段96號B1,02-25048125,SYNBIO,07-6955680,副總經理,70402724,http://www.synbiotech.com
資誠聯合會計師事務所,"1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)",葉翠苗,林佳鴻,蔡鎮隆,台翰,台翰精密科技股份有限公司,1150904,19870828,20071102,遺缺待補,alen@thpt.com.tw,03-3112035,蔡鎮隆,77614419,776144190,新台幣                 10.0000元,0,1,0,－ ,1336,28,李晉誠,永豐金證券(股)公司股務代理部,台北市中正區博愛路17號3樓,02-23816288,TAIHAN,03-3112025,執行副總經理,22589593,www.thpt.com.tw
資誠聯合會計師事務所,"4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan",蔡蓓華,陳晉昌,陳明賢,精華,精華光學股份有限公司,1150904,19860924,20040330,林雅蘋,s0505@stshine.com.tw,(02)2647-9369,周育然,50416516,504165160,新台幣                 10.0000元,0,1,0,－ ,1565,22,周華玲,元大證券股務代理部,106臺北市大安區敦化南路2段67號地下一樓,(02)2586-5859,St.Shine　,(02)8691-6000,稽核室副理,22195654,http://www.stshine.com.tw
勤業眾信聯合會計師事務所,2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung  Taiwan R.O.C,劉裕祥,許瑞軒,蕭欽銘,濱川,濱川企業股份有限公司,1150904,19830330,20050729,黃琳霽,fan_lee@hamagawa.com,07-7871515,蕭欽群,144247441,1442474410,新台幣                 10.0000元,0,1,22800000,－ ,1569,25,李璠,富邦綜合證券股份有限公司,台北市中正區許昌街17號11樓,02-23611300,Bin Chuan,07-7871521,副總經理,76404919,https://www.hamagawa.com.tw/
資誠聯合會計師事務所,"NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan",于智帆會計師,王方瑜會計師,陳立白,力肯,力肯實業股份有限公司,1150904,19831223,20050630,林昭陽,mops@depoan.com,(02)2619-5618,林昭陽,51500839,515008390,新台幣                 10.0000元,0,1,0,－ ,1570,05,林婉菁,福邦證券股份有限公司股務代理部,台北市中正區忠孝西路１段６號６樓,(02)2371-1658,De Poan,(02)2619-5619,總管理處副總經理,36253534,www.depoan.com
勤業眾信聯合會計師事務所,"No.23, Wuquan 6th Rd., Wugu Dist.New Taipei City , Taiwan (R.O.C.)",張耿禧,劉力維,謝順和,新麥,新麥企業股份有限公司,1150904,19830927,20071210,謝銘效,sinmag.tw@sinmag.com.tw,02-22981718,謝順和,49339242,493392420,新台幣                 10.0000元,0,1,0,－ ,1580,05,陳宜雯,台新證券股務代理部,台北市建國北路一段96號B1,02-25048125,SINMAG,02-22981148,會計主管,12461082,www.sinmag.com.tw
資誠聯合會計師事務所,"No.15,Gong 1st Road,Da Nong Village, Liouying Township, Tain",田中玉,徐惠榆,王炯棻,精剛,精剛精密科技股份有限公司,1150904,20020515,20071128,林美伶,http://www.s-tech.com.tw,06-6233311,薄慧雲,232470533,2324705330,新台幣                 10.0000元,0,1,0,－ ,1584,20,薄慧雲,凱基證券股份有限公司,100台北市中正區重慶南路一段2號5樓,02-23892999,STC,06-6235143,總經理,80334042,http://www.s-tech.com.tw
安侯建業聯合會計師事務所,"No. 40, Xinggong Rd., Shengang Township,Changhua County 509, Taiwan (R.O.C.)",高鈺倫,陳宗哲,林輝政,和勤,和勤精機股份有限公司,1150904,19921109,20120109,陳益莊,cftc.service@cftc-hc.com.tw,04-7980329,謝章典,129500467,1295004670,新台幣                 10.0000元,0,1,20000000,－ ,1586,05,謝章典,群益金鼎證券股份有限公司,台北市大安區敦化南路二段97號地下二樓,02-2702-3999,CFTC,04-7980339,總經理,86985605,http://www.cftc.tw
