上市日期,代理發言人,住址,傳真機號碼,公司代號,公司名稱,公司簡稱,出表日期,外國企業註冊地國,實收資本額,已發行普通股數或TDR原股發行股數,成立日期,普通股每股面額,營利事業統一編號,特別股,產業別,發言人,發言人職稱,私募股數,簽證會計師1,簽證會計師2,簽證會計師事務所,網址,編制財務報表類型,總機電話,總經理,股票過戶機構,英文簡稱,英文通訊地址,董事長,過戶地址,過戶電話,電子郵件信箱
19620209,賴家柔,台北市中山北路2段113號,(02)2531-6529,1101,臺灣水泥股份有限公司,台泥,1150901,－ ,77231817420,7523181742,19501229,新台幣                 10.0000元,11913502,200000000,01,葉毓君,永續長,0,翁雅玲,邵志明,勤業眾信聯合會計師事務所,https://www.tccgroupholdings.com/tw/,1,(02)2531-7099,程耀輝,中國信託商業銀行代理部,TCC,"No.113, Sec.2, Zhongshan N. Rd.,Taipei City 104,Taiwan (R.O.C.)",張安平,台北市重慶南路一段83號5樓,66365566,finance@taiwancement.com
19620608,楊淯玲,台北市大安區敦化南路2段207號30、31樓,02-2736-6263,1102,亞洲水泥股份有限公司,亞泥,1150901,－ ,35465628810,3546562881,19570321,新台幣                 10.0000元,03244509,0,01,王照宇,協理,0,劉紋伶,陳培德,勤業眾信聯合會計師事務所,www.acc.com.tw,1,02-2733-8000,李坤炎,亞東證券股份有限公司,ACC,"30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, TaiwanTAIPEI,TAIWAN,R.O.C",徐旭東,新北市板橋區新站路16號13樓,02-7753-1699,service@acc.com.tw
19691114,馮文裕,台北市中山北路二段96號,(02)2511-4002,1103,嘉新水泥股份有限公司,嘉泥,1150901,－ ,8328745530,832874553,19541213,新台幣                 10.0000元,11892801,0,01,金哲毅,董事會秘書室協理,0,陳薔旬,梁盛泰,勤業眾信聯合會計師事務所,www.chcgroup.com.tw,1,(02)2551-5211,王立心,群益金鼎證券股份有限公司股代部,CHC,"No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.Taipei City 10449, Taiwan (R.O.C.)",張剛綸,台北市敦化南路2段97號地下2樓,(02)2702-3999,ir@chcgroup.com.tw
19710201,高琮堯,台北市南京東路二段125號10樓,02-25075870,1104,環球水泥股份有限公司,環泥,1150901,－ ,6866818160,686681816,19600321,新台幣                 10.0000元,07568009,0,01,楊宗仁,副總經理,0,王菘澤,林秀珊,資誠聯合會計師事務所,www.ucctw.com,1,02-25077801,侯智元,永豐金證券股份有限公司,UCC,"10th F., 125 Nanking E.Rd Sec. 2,Taipei Taiwan",侯博義,台北市博愛路17號3樓,02-23816288,ucc@ucctw.com
19900606,陳一誠,台北市松江路237號15樓,25048672,1108,幸福水泥股份有限公司,幸福,1150901,－ ,4047380490,404738049,19740507,新台幣                 10.0000元,40601248,0,01,溫秀菊,財務部經理,0,陳招美,陳薔旬,勤業眾信聯合會計師事務所,www.luckygrp.com.tw,1,25092188,陳明賢,永豐金證券股務代理,LUCKY CEMENT,"15TH FL.,NO.237,SUNG KIANG RD.,TAIPEI,TAIWAN,R.O.C.",陳韻如,台北市中正區博愛路17號3樓,2381-6288,wendy@luckygrp.com.tw
19911205,蔡素秋,台北市寶慶路37號7樓,23314086,1109,信大水泥股份有限公司,信大,1150901,－ ,3411588680,341158868,19640315,新台幣                 10.0000元,03279507,0,01,張清壽,資深協理,0,余正富,支秉鈞,資誠聯合會計師事務所,www.hsingta.com.tw,1,(02)23816731,楊大寬,中國信託商業銀行代理部,HsingTa,"No. 37, 7F, Baoqing Rd.,Taipei City 100, Taiwan (R.O.C.)",楊智雄,台北巿重慶南路一段83號5樓,(02)6636-5566,service@hsingta.com.tw
19941022,唐榮宗,高雄市前金區五福三路21號4樓之1,07-9505895,1110,東南水泥股份有限公司,東泥,1150901,－ ,5720007970,572000797,19561228,新台幣                 10.0000元,83078600,0,01,黃薪翰,財務部副總經理,0,黃致富,黃鈴雯,國富浩華聯合會計師事務所,www.southeastcement.com.tw,1,07-2711121,吳炎輝,元大證券股份有限公司,SE CEMENT,"NO.21 Wu Fu 3 RoadKaohsiung, Taiwan, R.O.C.",陳敏斷,臺北市大安區敦化南路2段67號地下一樓,02-25865859,southeast@secement.com
19620209,待補,台北市松江路125號,(02)25063182,1201,味全食品工業股份有限公司,味全,1150901,－ ,5060629140,506062914,19530922,新台幣                 10.0000元,11347802,0,02,李文學,財務長,0,黃世鈞,葉翠苗,資誠聯合會計師事務所,https://www.weichuan.com.tw,1,(02)25065020,滕以勇,元大證券股務代理部,WEI CHUAN,"10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.",徐文芳,臺北市大安區敦化南路2段67號地下一樓,(02)25865859,service@weichuan.com.tw
19640824,李兆弘,台北市中山北路二段79號5樓,(02)25811006,1203,味王股份有限公司,味王,1150901,－ ,2400000000,240000000,19590704,新台幣                 10.0000元,07067309,0,02,魏璟雄,協理,0,溫明郁,張卉諭,大中國際聯合會計師事務所,https://www.vewong.com/,1,(02)25717271,陳恭平,群益金鼎證券股份有限公司,VE WONG,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN",陳清福,台北市敦化南路二段97號地下2樓,27023999,wei@vewong.com.tw
19780520,許博涵,台南市永康區蔦松二街三號,06-2534596,1210,大成長城企業股份有限公司,大成,1150901,－ ,8947672220,894767222,19601228,新台幣                 10.0000元,73008303,0,02,夏銜譽,副總經理,0,李逢暉,蔡佩汝,安侯建業會計師事務所,http://www.dachan.com,1,06-2531111,韓芳豪,中國信託商業銀行代理部,GREATWALL,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,韓家宇,台北市重慶南路一段八十三號六樓,02-66365566,ir@ms.greatwall.com.tw
